date,ticker,type,price,shares,amount,commission,reason
2022-04-26,7974,SELL,5682.666090820312,300,1703862.1873411082,937.6399049853516,Max holding period reached (20 days)
2022-09-28,7203,BUY,1799.1439581298825,500,900121.9790649413,550.0,Entry 3 days before record date
2022-09-28,6758,BUY,1896.9859588623044,500,949042.9794311522,550.0,Entry 3 days before record date
2022-09-28,9432,BUY,140.85259941101071,7100,1000603.485218876,550.0294006999968,Entry 3 days before record date
2022-09-28,8306,BUY,617.0707360839843,1600,987863.177734375,550.0,Entry 3 days before record date
2022-09-28,9433,BUY,1927.559329833984,500,964329.6649169921,550.0,Entry 3 days before record date
2022-09-28,4063,BUY,2796.7086511230464,300,839562.595336914,550.0,Entry 3 days before record date
2022-09-28,9984,BUY,4865.375771484374,200,973625.1542968748,550.0,Entry 3 days before record date
2022-09-28,6098,BUY,4123.796184082031,200,825309.2368164061,550.0,Entry 3 days before record date
2022-09-28,7974,BUY,5564.083374023437,100,556958.3374023436,550.0,Entry 3 days before record date
2022-09-29,7203,SELL,1808.9510534667968,1000,1807956.13038739,994.9230794067383,Window filled (reached pre-ex price 1799)
2022-09-29,6758,SELL,1890.5313366699218,1000,1889491.5444347532,1039.792235168457,Window filled (reached pre-ex price 1897)
2022-09-29,9432,SELL,144.49589012145995,14200,2050741.6397247312,1100.0,Window filled (reached pre-ex price 141)
2022-09-29,9433,SELL,1947.9747320556642,1000,1946903.3459530335,1071.3861026306154,Window filled (reached pre-ex price 1928)
2022-09-29,4063,SELL,2792.8003002929686,600,1674758.5560766845,921.6240990966797,Window filled (reached pre-ex price 2797)
2022-09-29,9984,SELL,4929.647822265625,400,1970774.6063853516,1084.5225208984375,Window filled (reached pre-ex price 4865)
2022-09-29,6098,SELL,4143.847058105469,400,1656627.1768894042,911.6463527832032,Window filled (reached pre-ex price 4124)
2022-09-29,7974,SELL,5635.550280761719,200,1126490.14562146,619.9105308837891,Window filled (reached pre-ex price 5564)
2022-10-04,8306,SELL,613.6911784667968,3200,1962731.6746196484,1080.0964741015625,Window filled (reached pre-ex price 614)
2023-03-29,7203,BUY,1727.7749725341796,500,864437.4862670898,550.0,Entry 3 days before record date
2023-03-29,6758,BUY,2289.088205566406,400,916185.2822265624,550.0,Entry 3 days before record date
2023-03-29,9432,BUY,150.52296409606933,6600,994001.5630340576,550.0,Entry 3 days before record date
2023-03-29,8306,BUY,780.5870086669921,1200,937254.4104003905,550.0,Entry 3 days before record date
2023-03-29,9433,BUY,1937.7901611328123,500,969445.0805664061,550.0,Entry 3 days before record date
2023-03-29,9984,BUY,5136.554509277344,100,514205.4509277344,550.0,Entry 3 days before record date
2023-03-29,6098,BUY,3672.0094262695306,200,734951.8852539061,550.0,Entry 3 days before record date
2023-03-29,7974,BUY,4878.345571289062,200,976219.1142578124,550.0,Entry 3 days before record date
2023-03-30,7203,SELL,1734.1190856933595,1000,1733165.320196228,953.7654971313477,Window filled (reached pre-ex price 1728)
